Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
07	patterned	1	1	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	61	2.458	[(None, 0.0), (61, 1.577), (61, 2.458)]	13.3838546231	13.3847538845	1276.06119205	21.899862345	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	2	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	49	3.061	[(None, 0.0), (51, 1.417), (53, 2.014), (49, 2.514), (49, 3.061)]	13.9842625306	27.3735885824	1290.05002675	35.8886978332	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	3	0.2	8	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_08.mp3	80	2.557	[(None, 0.0), (80, 1.133), (76, 1.511), (80, 2.088), (80, 2.557)]	13.4731967952	40.9037023808	1303.58014015	49.4188104463	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	4	0.1	10	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_10.mp3	68	1.673	[(None, 0.0), (68, 1.155), (68, 1.673)]	12.6044079612	53.5134766725	1316.18991484	62.0285855282	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	5	0.6	4	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_04.mp3	64	2.547	[(None, 0.0), (64, 2.045), (64, 2.547)]	13.4593447719	66.9872566443	1329.6636956	75.5023670804	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	6	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	61	1.622	[(None, 0.0), (61, 1.064), (61, 1.622)]	12.5480251414	79.5406892072	1342.21712777	88.0557988531	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	7	0.2	5	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_05.mp3	66	1.433	[(None, 0.0), (66, 0.653), (66, 1.433)]	12.3501599784	91.9354922192	1354.61192999	100.45060068	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	8	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	79	1.343	[(None, 0.0), (79, 0.804), (79, 1.342)]	12.2706326359	104.211747214	1366.88818538	112.726855675	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	9	0.1	13	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_13.mp3	73	1.113	[(None, 0.0), (73, 0.573), (73, 1.113)]	12.0454601129	116.262591833	1378.93903079	124.777701478	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	10	0.6	15	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_15.mp3	73	1.229	[(None, 0.0), (73, 0.573), (73, 1.229)]	12.1388307863	128.405192721	1391.08163049	136.920300786	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	11	0.4	13	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_13.mp3	68	1.385	[(None, 0.0), (68, 0.873), (68, 1.385)]	12.3094869706	140.743808491	1403.42024666	149.258916556	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	12	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	70	2.729	[(None, 0.0), (77, 1.132), (70, 1.977), (70, 2.729)]	13.7597470689	154.508053842	1417.18449082	163.023160327	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	13	0.5	17	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_17.mp3	66	3.546	[(None, 0.0), (72, 1.761), (66, 2.865), (66, 3.546)]	14.543586915	169.067643343	1431.74408151	177.582752198	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	14	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	74	3.306	[(None, 0.0), (74, 2.059), (74, 3.306)]	14.2539378245	183.326848326	1446.00328649	191.841957577	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	15	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	86	2.569	[(None, 0.0), (77, 1.625), (78, 1.747), (86, 1.95), (86, 2.569)]	13.497515178	196.856045083	1459.53248364	205.371154334	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	16	0.3	11	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_11.mp3	75	1.994	[(None, 0.0), (75, 1.508), (75, 1.994)]	12.9225920064	209.783337271	1472.45977544	218.298446127	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	17	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	80	2.55	[(None, 0.0), (80, 1.959), (80, 2.55)]	13.4721876943	223.261145744	1485.93758391	231.7762546	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	18	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	84	3.024	[(None, 0.0), (84, 2.382), (84, 3.024)]	13.9424231697	237.21765405	1499.89409222	245.732763696	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	19	0.4	15	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_15.mp3	83	3.136	[(None, 0.0), (83, 1.366), (83, 3.136)]	14.0568960626	251.279906565	1513.95634513	259.795015816	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	20	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	81	2.248	[(None, 0.0), (81, 1.563), (81, 2.248)]	13.1751844948	264.459799144	1527.13623731	272.974908	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	21	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	77	4.396	[(None, 0.0), (84, 0.912), (89, 1.29), (82, 2.658), (77, 3.807), (77, 4.396)]	15.3160157031	279.781091093	1542.45752965	288.296200344	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	22	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	69	2.134	[(None, 0.0), (74, 0.809), (73, 0.89), (69, 1.619), (69, 2.134)]	13.0558751086	292.842736726	1555.51917568	301.357846372	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	23	0.8	5	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_05.mp3	81	1.51	[(None, 0.0), (81, 1.012), (81, 1.51)]	12.4317229074	305.326913518	1568.00335129	313.842021979	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	24	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	68	1.699	[(None, 0.0), (68, 1.026), (68, 1.699)]	12.6409896458	317.988858009	1580.66529657	326.50396726	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	25	0.5	6	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_06.mp3	75	1.435	[(None, 0.0), (72, 0.828), (74, 0.878), (75, 0.893), (75, 1.435)]	12.3577950079	330.352342544	1593.02878071	338.86745219	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	26	0.5	12	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_12.mp3	79	1.543	[(None, 0.0), (79, 0.962), (79, 1.543)]	12.4638817748	342.822062406	1605.49850057	351.337171262	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	27	0.7	17	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_17.mp3	65	1.591	[(None, 0.0), (60, 0.823), (65, 1.168), (65, 1.591)]	12.503024932	355.328770517	1618.00520829	363.843879768	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	28	0.8	0	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_00.mp3	67	2.869	[(None, 0.0), (67, 0.841), (67, 2.869)]	13.7833084285	369.123508969	1631.79994713	377.638617429	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	29	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	66	2.432	[(None, 0.0), (76, 1.117), (66, 1.901), (66, 2.432)]	13.3542260149	382.483085905	1645.15952407	390.998195156	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	30	0.1	6	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_06.mp3	61	1.371	[(None, 0.0), (61, 0.712), (61, 1.371)]	12.2924045602	394.780888404	1657.45732618	403.295996864	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	31	0.7	9	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_09.mp3	65	1.729	[(None, 0.0), (65, 1.202), (65, 1.729)]	12.6517195411	407.437929233	1670.1143674	415.953038089	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	32	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	62	4.253	[(None, 0.0), (63, 1.425), (62, 1.452), (62, 4.253)]	15.1745811678	422.617285258	1685.29372303	431.132393323	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	33	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	63	3.39	[(None, 0.0), (63, 2.981), (63, 3.39)]	14.3472417251	436.970691823	1699.64712959	445.485800283	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	34	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	62	3.386	[(None, 0.0), (62, 2.335), (62, 3.386)]	14.3079025953	451.284313973	1713.96075174	459.799422434	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	35	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	58	1.957	[(None, 0.0), (58, 1.361), (58, 1.957)]	12.8735937188	464.182834538	1726.85927349	472.697944184	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	36	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	59	2.943	[(None, 0.0), (69, 1.229), (59, 2.428), (59, 2.943)]	13.8637524171	478.052019269	1740.72845743	486.567128124	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	37	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	70	1.704	[(None, 0.0), (70, 0.967), (70, 1.704)]	12.6131658821	490.670603635	1753.3470418	499.185712096	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	38	0.3	2	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_02.mp3	60	2.622	[(None, 0.0), (68, 1.276), (60, 2.138), (60, 2.622)]	13.5443822635	504.220277159	1766.89671533	512.735386015	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	39	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	64	2.106	[(None, 0.0), (64, 1.526), (64, 2.106)]	13.0275258538	517.253129438	1779.92956721	525.768237898	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	40	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	60	3.519	[(None, 0.0), (63, 1.837), (51, 2.332), (52, 2.394), (58, 2.66), (60, 3.034), (60, 3.519)]	14.4283332925	531.686923491	1794.36336126	540.202031556	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	41	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	64	2.622	[(None, 0.0), (68, 1.557), (64, 2.122), (64, 2.622)]	13.5275574623	545.218954344	1807.89539251	553.73406399	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	42	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	72	1.613	[(None, 0.0), (72, 1.014), (72, 1.613)]	12.5231370157	557.746236812	1820.42267498	566.261345273	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	43	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	66	3.216	[(None, 0.0), (66, 2.824), (66, 3.216)]	14.1411030413	571.893125392	1834.56956356	580.408234247	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	44	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	70	2.274	[(None, 0.0), (70, 1.928), (70, 2.274)]	13.1796776409	585.078146447	1847.75458422	593.593255303	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	45	0.3	9	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_09.mp3	62	3.089	[(None, 0.0), (69, 2.102), (62, 2.511), (62, 3.089)]	13.9961398138	599.079788113	1861.75622588	607.594896178	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	46	0.5	7	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_07.mp3	69	1.938	[(None, 0.0), (69, 0.816), (69, 1.938)]	12.8587883045	611.944237497	1874.62067685	620.459348328	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	47	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	75	3.424	[(None, 0.0), (75, 1.81), (75, 3.424)]	14.3330755925	626.282635958	1888.95907412	634.797744814	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	48	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	61	1.602	[(None, 0.0), (61, 1.146), (61, 1.602)]	12.6170722957	638.905212476	1901.58165064	647.420321332	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	49	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	61	4.235	[(None, 0.0), (66, 2.19), (71, 2.539), (67, 3.485), (61, 3.844), (61, 4.234)]	15.158678149	654.069234039	1916.74567221	662.584342895	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	50	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	67	2.193	[(None, 0.0), (67, 1.674), (67, 2.193)]	13.1185132475	667.193083985	1929.86952215	675.70819284	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	51	0.8	12	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_12.mp3	59	1.989	[(None, 0.0), (59, 1.409), (59, 1.989)]	12.9102959107	680.109273692	1942.78571146	688.624382153	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	52	0.2	15	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_15.mp3	53	1.841	[(None, 0.0), (53, 1.228), (53, 1.841)]	12.7639193889	692.878466167	1955.55490394	701.393574627	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	53	0.3	10	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_10.mp3	57	1.85	[(None, 0.0), (57, 1.253), (57, 1.85)]	12.7734971548	705.657313453	1968.33375201	714.172423099	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	54	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	72	2.409	[(None, 0.0), (71, 1.86), (72, 1.909), (72, 2.408)]	13.3398702314	719.00162112	1981.67805929	727.516729976	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	55	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	80	1.796	[(None, 0.0), (80, 1.042), (80, 1.796)]	12.7195635975	731.726647059	1994.40308602	740.241757495	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	56	0.3	3	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_03.mp3	71	1.843	[(None, 0.0), (71, 1.309), (71, 1.843)]	12.7528694577	744.483894292	2007.16033246	752.999003938	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	57	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	68	1.797	[(None, 0.0), (68, 1.326), (68, 1.797)]	12.718705032	757.207647199	2019.88408576	765.72275645	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	58	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	63	3.099	[(None, 0.0), (71, 1.739), (63, 2.522), (63, 3.099)]	14.0238304268	771.235679578	2033.91211853	779.750789224	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	59	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	72	1.557	[(None, 0.0), (72, 1.113), (72, 1.557)]	12.4643859301	783.704369794	2046.38080757	792.219478255	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	60	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	73	2.363	[(None, 0.0), (73, 1.184), (73, 2.363)]	13.2593906832	796.967134683	2059.64357245	805.482243144	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	61	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	72	2.967	[(None, 0.0), (72, 2.043), (72, 2.967)]	13.8886567421	810.85992542	2073.53636319	819.37503388	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	62	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	64	3.296	[(None, 0.0), (64, 1.895), (64, 3.296)]	14.2178784701	825.131643807	2087.80808237	833.646753848	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	63	0.7	12	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_12.mp3	72	2.36	[(None, 0.0), (74, 0.95), (69, 1.516), (72, 1.983), (72, 2.36)]	13.2851417206	838.422014361	2101.09845253	846.937123217	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	64	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	73	1.95	[(None, 0.0), (73, 1.148), (73, 1.95)]	12.8703597757	851.297312568	2113.97375073	859.812421423	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	65	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	79	1.965	[(None, 0.0), (79, 1.353), (79, 1.965)]	12.8856602578	864.202545194	2126.87898297	872.71765405	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	66	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	73	1.919	[(None, 0.0), (68, 1.0), (73, 1.513), (73, 1.919)]	12.8407394647	877.048607923	2139.72504767	885.563718359	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	67	0.7	13	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_13.mp3	85	1.52	[(None, 0.0), (85, 0.921), (85, 1.52)]	12.4423259736	889.49651793	2152.17295649	898.011626786	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	68	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	88	1.621	[(None, 0.0), (88, 1.13), (88, 1.621)]	12.5483428067	902.0492314	2164.72566957	910.564340256	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	69	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	74	2.449	[(None, 0.0), (74, 1.474), (74, 2.449)]	13.3724538378	915.427306017	2178.10374418	923.942414872	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	70	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	72	2.327	[(None, 0.0), (72, 1.704), (72, 2.327)]	13.240856258	928.672705994	2191.34914416	937.187814455	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	71	0.4	10	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_10.mp3	61	2.333	[(None, 0.0), (66, 1.285), (61, 1.765), (61, 2.333)]	13.2507777663	941.970851446	2204.64728922	950.485959906	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	72	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	74	2.899	[(None, 0.0), (69, 1.189), (75, 2.242), (74, 2.289), (74, 2.899)]	13.8354857394	955.854965653	2218.53140382	964.370074114	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	73	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	85	2.244	[(None, 0.0), (66, 1.103), (65, 1.2), (85, 1.644), (85, 2.243)]	13.1722962695	969.0326164	2231.70905417	977.547724466	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	74	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	65	1.907	[(None, 0.0), (65, 1.431), (65, 1.907)]	12.82216948	981.905274508	2244.58171267	990.420383364	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	75	0.2	12	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_12.mp3	77	1.381	[(None, 0.0), (77, 0.842), (77, 1.381)]	12.2951975649	994.204874344	2256.88131212	1002.7199828	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	76	0.2	14	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_14.mp3	63	1.813	[(None, 0.0), (63, 1.289), (63, 1.813)]	12.7359988242	1006.94643784	2269.62287561	1015.46154749	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	77	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	71	1.706	[(None, 0.0), (71, 0.842), (71, 1.706)]	12.6233773982	1019.61599168	2282.29242945	1028.13110014	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	78	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	61	1.424	[(None, 0.0), (61, 1.058), (61, 1.424)]	12.3579242076	1031.97899577	2294.65543354	1040.49410423	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	79	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	65	1.581	[(None, 0.0), (65, 1.229), (65, 1.581)]	12.5104604329	1044.49486283	2307.171301	1053.00997208	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	80	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	88	2.93	[(None, 0.0), (79, 1.074), (88, 2.257), (88, 2.93)]	13.8598697098	1058.36008544	2321.0365236	1066.87519429	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	81	0.1	17	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_17.mp3	100	2.074	[(None, 0.0), (97, 1.231), (98, 1.257), (99, 1.392), (100, 1.403), (100, 2.074)]	12.9795860553	1071.34541752	2334.02185569	1079.86052638	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	82	0.6	9	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_09.mp3	70	2.054	[(None, 0.0), (70, 1.607), (70, 2.054)]	13.005148627	1084.35527384	2347.031712	1092.87038269	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	83	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	68	4.715	[(None, 0.0), (78, 3.695), (68, 4.353), (68, 4.715)]	15.6475476162	1100.00768679	2362.68412495	1108.52279604	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	84	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	70	2.884	[(None, 0.0), (75, 1.338), (74, 1.388), (70, 2.348), (70, 2.884)]	13.7997610399	1113.82669661	2376.50313438	1122.34180507	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	85	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	73	2.529	[(None, 0.0), (73, 2.052), (73, 2.529)]	13.4663701527	1127.29801704	2389.97445521	1135.81312669	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	86	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	62	3.183	[(None, 0.0), (69, 2.017), (62, 2.47), (62, 3.182)]	14.1033534232	1141.40490785	2404.08134602	1149.92001671	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	87	0.7	18	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_18.mp3	58	1.844	[(None, 0.0), (58, 1.369), (58, 1.844)]	12.8046662816	1154.21383456	2416.89027273	1162.72894342	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	88	0.9	18	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_18.mp3	70	2.878	[(None, 0.0), (63, 1.273), (75, 1.669), (70, 2.11), (70, 2.878)]	13.7957973359	1168.01424199	2430.69068016	1176.52935085	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
07	patterned	1	89	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	82	3.81	[(None, 0.0), (74, 1.979), (87, 2.332), (84, 2.941), (82, 3.369), (82, 3.81)]	14.7421043981	1182.76112243	2445.4375606	1191.27623089	2019_Feb_18_1638	Sound Switch 12-20-2018	318-laptop	bpl	SJ
