Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
04	beautiful	1	1	0.7	10	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_10.mp3	22	2.915	[(None, 0.0), (22, 2.16), (22, 2.915)]	13.8024817402	13.8032442949	1363.72075129	46.9284573558	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	2	0.2	15	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_15.mp3	41	2.115	[(None, 0.0), (41, 1.488), (41, 2.115)]	13.0327546873	26.8416000057	1376.75910739	59.9668146471	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	3	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	51	2.445	[(None, 0.0), (51, 1.663), (51, 2.445)]	13.3683692314	40.2151593502	1390.13266634	73.3403724112	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	4	0.2	0	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_00.mp3	49	4.271	[(None, 0.0), (52, 1.741), (49, 3.398), (49, 4.271)]	15.1935229474	55.4135689693	1405.33107596	88.5387824254	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	5	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	26	1.803	[(None, 0.0), (26, 1.16), (26, 1.803)]	12.7262740788	68.144242554	1418.06174915	101.269455615	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	6	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	65	2.678	[(None, 0.0), (65, 2.02), (65, 2.678)]	13.5973892972	81.7466990864	1431.66420568	114.871912938	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	7	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	67	3.721	[(None, 0.0), (67, 3.079), (67, 3.721)]	14.6438818222	96.3958670326	1446.31337402	129.521080489	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	8	0.5	4	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_04.mp3	24	1.904	[(None, 0.0), (24, 1.151), (24, 1.904)]	12.804053077	109.206691042	1459.12419764	142.331903708	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	9	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	58	2.024	[(None, 0.0), (58, 1.508), (58, 2.024)]	12.9284526145	122.139403295	1472.05690831	155.264613195	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	10	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	67	2.855	[(None, 0.0), (70, 1.729), (67, 2.262), (67, 2.855)]	13.7415737706	135.89917328	1485.81667988	169.024385946	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	11	0.1	6	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_06.mp3	8	2.166	[(None, 0.0), (8, 1.418), (8, 2.166)]	13.091222877	148.995115699	1498.91262309	182.12032955	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	12	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	22	2.583	[(None, 0.0), (22, 1.893), (22, 2.583)]	13.5625567471	162.562286099	1512.47979309	195.687499556	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	13	0.8	14	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_14.mp3	61	2.567	[(None, 0.0), (61, 2.096), (61, 2.567)]	13.5324022527	176.097846435	1526.01535343	209.223059496	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	14	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	18	2.552	[(None, 0.0), (15, 1.336), (18, 1.864), (18, 2.552)]	13.4795718315	189.580892829	1539.49839943	222.70610589	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	15	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	49	3.33	[(None, 0.0), (49, 1.284), (49, 3.33)]	14.2519998293	203.83738699	1553.75489398	236.962600051	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	16	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	49	2.388	[(None, 0.0), (48, 1.246), (49, 1.702), (49, 2.388)]	13.3130547783	217.155038037	1567.07254542	250.280251888	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	17	0.4	19	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_19.mp3	56	3.369	[(None, 0.0), (54, 2.274), (56, 2.651), (56, 3.369)]	14.2929735129	231.453293723	1581.37080111	264.578507574	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	18	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	41	2.635	[(None, 0.0), (41, 2.071), (41, 2.635)]	13.5721032997	245.029165544	1594.94667293	278.154379395	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	19	0.9	18	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_18.mp3	49	1.744	[(None, 0.0), (49, 1.148), (49, 1.744)]	12.6664301298	257.700190362	1607.61769854	290.825405794	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	20	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	51	3.777	[(None, 0.0), (51, 2.869), (51, 3.777)]	14.7224553787	272.42709503	1622.34460202	305.552308486	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	21	0.2	1	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_01.mp3	46	3.613	[(None, 0.0), (46, 3.143), (46, 3.613)]	14.5481934566	287.013609033	1636.9311184	320.13882644	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	22	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	54	2.257	[(None, 0.0), (54, 1.662), (54, 2.257)]	13.1633913691	300.181286513	1650.09879271	333.306498783	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	23	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	46	3.686	[(None, 0.0), (48, 2.513), (46, 3.109), (46, 3.686)]	14.6270226467	314.81246607	1664.72997306	347.937679131	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	24	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	42	1.913	[(None, 0.0), (42, 1.411), (42, 1.913)]	12.811313941	327.628060195	1677.54556719	360.753273651	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
04	beautiful	1	25	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	40	1.665	[(None, 0.0), (40, 1.147), (40, 1.665)]	12.5721364886	340.205060439	1690.12256862	373.330274686	2019_Feb_18_0916	Sound Switch 12-20-2018	318-laptop	bpl	CY
