Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
29	patterned	1	1	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	59	3.427	[(None, 0.0), (59, 2.706), (59, 3.427)]	14.3611878177	14.3631570567	1247.35061896	30.4739591462	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	2	0.9	9	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_09.mp3	100	2.819	[(None, 0.0), (100, 2.099), (100, 2.819)]	13.7386657142	28.1073978033	1261.0948605	44.2182002879	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	3	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	25	2.273	[(None, 0.0), (26, 1.334), (25, 1.414), (25, 2.273)]	13.202533301	41.3133144496	1274.30077675	57.4241165391	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	4	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	21	4.739	[(None, 0.0), (24, 1.523), (15, 1.993), (28, 3.584), (21, 3.943), (21, 4.739)]	15.647397179	56.9667264208	1289.95418833	73.0775289054	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	5	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	52	5.337	[(None, 0.0), (59, 2.823), (52, 4.494), (52, 5.337)]	16.257786969	73.2291836153	1306.21664631	89.3399864951	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	6	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	47	5.03	[(None, 0.0), (47, 4.025), (47, 5.03)]	15.9440580467	89.1789059898	1322.1663679	105.28970887	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	7	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	36	2.722	[(None, 0.0), (46, 1.176), (41, 1.584), (40, 1.599), (36, 2.146), (36, 2.722)]	13.6387335549	102.823453225	1335.81091632	118.9342565	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	8	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	23	2.006	[(None, 0.0), (24, 1.213), (23, 1.245), (23, 2.006)]	12.9244375677	115.752665723	1348.74012605	131.863464256	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	9	0.2	11	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_11.mp3	38	3.023	[(None, 0.0), (44, 1.679), (38, 2.026), (38, 3.023)]	13.8603401046	129.624481465	1362.61194337	145.735283159	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	10	0.4	1	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_01.mp3	29	4.704	[(None, 0.0), (34, 1.254), (31, 3.723), (29, 4.205), (29, 4.704)]	15.6223296839	145.279540658	1378.26700335	161.390343538	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	11	0.5	4	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_04.mp3	25	1.668	[(None, 0.0), (25, 0.698), (25, 1.667)]	12.5796310996	157.92307127	1390.91053357	174.033873755	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	12	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	27	2.49	[(None, 0.0), (27, 1.379), (27, 2.49)]	13.4068339387	171.356489144	1404.34395145	187.467291629	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	13	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	90	4.8	[(None, 0.0), (77, 1.069), (83, 1.633), (87, 2.413), (95, 3.676), (90, 4.129), (90, 4.8)]	15.717445031	187.100033703	1420.08749561	203.210835793	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	14	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	38	2.818	[(None, 0.0), (38, 1.317), (38, 2.817)]	13.7290625135	200.8614156	1433.8488779	216.972217689	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	15	0.8	19	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_19.mp3	90	2.009	[(None, 0.0), (81, 1.039), (90, 1.401), (90, 2.009)]	12.9191683521	213.846609562	1446.83407147	229.957411652	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	16	0.4	15	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_15.mp3	45	2.01	[(None, 0.0), (45, 1.275), (45, 2.01)]	12.9351838279	226.818084836	1459.80554714	242.928887716	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	17	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	100	2.61	[(None, 0.0), (100, 1.889), (100, 2.61)]	13.5446680208	240.39309984	1473.38056214	256.503902325	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	18	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	83	3.48	[(None, 0.0), (77, 1.699), (83, 2.871), (83, 3.48)]	14.3937051523	254.792483149	1487.77994506	270.903286029	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	19	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	14	5.097	[(None, 0.0), (36, 1.472), (29, 2.004), (21, 2.631), (20, 2.645), (14, 3.55), (14, 5.097)]	15.9978454535	270.803994347	1503.79145665	286.914796436	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	20	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	11	1.616	[(None, 0.0), (11, 0.958), (11, 1.616)]	12.5270965935	283.374878059	1516.36233996	299.485680938	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	21	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	33	3.278	[(None, 0.0), (33, 2.167), (33, 3.278)]	14.2066811884	297.628821772	1530.61628407	313.739624256	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	22	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	60	2.587	[(None, 0.0), (60, 2.007), (60, 2.587)]	13.5086697483	311.164178975	1544.15164128	327.274981854	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	23	0.2	12	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_12.mp3	69	2.8	[(None, 0.0), (69, 1.222), (69, 2.8)]	13.7297681838	324.898913718	1557.88637562	341.009716203	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	24	0.3	11	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_11.mp3	70	3.323	[(None, 0.0), (64, 2.041), (70, 2.668), (70, 3.323)]	14.2352671571	339.165509712	1572.15297201	355.276312197	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	25	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	24	2.457	[(None, 0.0), (24, 1.628), (24, 2.457)]	13.3659153346	352.536808845	1585.52427115	368.64761212	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	26	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	21	2.45	[(None, 0.0), (12, 1.246), (21, 1.669), (21, 2.45)]	13.3515403645	365.892797777	1598.88026008	382.003599867	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	27	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	1	3.19	[(None, 0.0), (1, 2.313), (1, 3.19)]	14.1102054702	380.007547037	1612.99500934	396.118349522	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	28	0.5	7	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_07.mp3	18	2.04	[(None, 0.0), (18, 1.46), (18, 2.04)]	12.9643751084	392.977525231	1625.96498753	409.088327715	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	29	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	27	2.052	[(None, 0.0), (28, 1.082), (27, 1.178), (27, 2.052)]	12.9652858419	405.948137185	1638.93559909	422.058939669	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	30	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	19	2.673	[(None, 0.0), (19, 1.746), (19, 2.673)]	13.571680653	419.525338344	1652.51280104	435.636141224	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	31	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	21	3.818	[(None, 0.0), (25, 1.334), (21, 1.946), (21, 3.818)]	14.734722495	434.265639033	1667.25310094	450.376441122	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	32	0.9	2	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_02.mp3	96	1.865	[(None, 0.0), (96, 1.223), (96, 1.865)]	12.7780595805	447.048366073	1680.03582798	463.159167767	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	33	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	57	1.974	[(None, 0.0), (57, 0.738), (57, 1.974)]	12.9078009757	459.961307063	1692.94876897	476.072109152	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	34	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	89	1.927	[(None, 0.0), (89, 1.222), (89, 1.926)]	12.8508356819	472.816790449	1705.80425275	488.927592538	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	35	0.5	13	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_13.mp3	32	5.911	[(None, 0.0), (26, 4.706), (32, 5.129), (32, 5.911)]	16.8238424103	489.68752951	1722.67499142	505.79833239	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	36	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	65	2.318	[(None, 0.0), (65, 1.613), (65, 2.318)]	13.2401286169	502.933028886	1735.92049079	519.043830976	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	37	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	74	2.435	[(None, 0.0), (74, 1.433), (74, 2.435)]	13.3580273157	516.296717369	1749.28418046	532.407520644	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	38	0.7	13	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_13.mp3	32	2.415	[(None, 0.0), (32, 1.663), (32, 2.415)]	13.3509188531	529.652567221	1762.64002952	545.763369311	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	39	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	36	2.665	[(None, 0.0), (36, 1.913), (36, 2.665)]	13.5774872211	543.235543736	1776.22300604	559.34634622	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	40	0.5	11	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_11.mp3	19	2.928	[(None, 0.0), (19, 2.285), (19, 2.928)]	13.8444664741	557.085740126	1790.07320243	573.196543401	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	41	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	23	3.525	[(None, 0.0), (23, 3.039), (23, 3.525)]	14.429273938	571.520545239	1804.50800794	587.631348119	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	42	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	33	2.272	[(None, 0.0), (33, 1.818), (33, 2.272)]	13.1954900319	584.720614621	1817.70807653	600.831417105	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	43	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	90	1.615	[(None, 0.0), (90, 0.801), (90, 1.615)]	12.5235583642	597.248617601	1830.2360799	613.359420086	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	44	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	91	1.928	[(None, 0.0), (91, 1.237), (91, 1.928)]	12.8508973194	610.104044882	1843.09150679	626.214847761	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	45	0.6	14	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_14.mp3	32	2.512	[(None, 0.0), (32, 1.37), (32, 2.512)]	13.4220224447	623.531370522	1856.51883282	639.642173006	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	46	0.7	17	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_17.mp3	23	2.072	[(None, 0.0), (23, 1.618), (23, 2.072)]	12.9857285493	636.522427948	1869.50989025	652.633230038	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	47	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	15	4.393	[(None, 0.0), (33, 3.611), (32, 3.636), (15, 3.972), (15, 4.393)]	15.4103488564	651.937225372	1884.92468728	668.048027462	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	48	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	68	2.234	[(None, 0.0), (68, 1.766), (68, 2.234)]	13.1536089346	665.0962347	1898.083697	681.207036789	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	49	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	5	2.895	[(None, 0.0), (5, 2.237), (5, 2.895)]	13.8289840047	678.929969138	1911.91743144	695.040771622	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	50	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	22	4.835	[(None, 0.0), (22, 1.618), (22, 4.835)]	15.7481997703	694.725465808	1927.71293246	710.836273034	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	51	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	93	1.959	[(None, 0.0), (93, 1.285), (93, 1.959)]	12.8675718423	707.597411541	1940.58487345	723.708214026	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	52	0.6	2	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_02.mp3	33	2.118	[(None, 0.0), (33, 1.398), (33, 2.118)]	13.0411291989	720.644210995	1953.6316729	736.755012689	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	53	0.4	13	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_13.mp3	10	2.601	[(None, 0.0), (12, 1.725), (10, 1.774), (10, 2.601)]	13.524889497	734.173589756	1967.16105206	750.284391845	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	54	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	67	2.567	[(None, 0.0), (67, 2.064), (67, 2.566)]	13.505420346	747.684374539	1980.67183645	763.795176234	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	55	0.8	17	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_17.mp3	68	3.104	[(None, 0.0), (68, 2.477), (68, 3.104)]	14.0461811028	761.736285559	1994.72374746	777.847087648	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	56	0.6	17	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_17.mp3	22	2.075	[(None, 0.0), (21, 1.432), (22, 1.482), (22, 2.075)]	13.0105558161	774.752229124	2007.73969143	790.863031609	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	57	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	34	1.684	[(None, 0.0), (34, 1.01), (34, 1.684)]	12.5915745496	787.347892294	2020.3353542	803.458693988	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	58	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	16	3.394	[(None, 0.0), (16, 1.051), (16, 3.394)]	14.307227747	801.660471835	2034.64793374	817.771273925	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	59	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	28	4.179	[(None, 0.0), (28, 1.228), (28, 4.179)]	15.0869768271	816.752927287	2049.74038959	832.863730167	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	60	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	56	5.969	[(None, 0.0), (15, 2.3), (47, 4.096), (56, 4.829), (56, 5.969)]	16.8870619342	833.644501402	2066.6319641	849.755304282	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	61	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	87	2.153	[(None, 0.0), (86, 1.464), (87, 1.528), (87, 2.153)]	13.0766576831	846.726396297	2079.7138586	862.837198781	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	62	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	69	2.349	[(None, 0.0), (69, 1.442), (69, 2.349)]	13.2781692242	860.0090536	2092.99651551	876.119856479	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	63	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	28	1.864	[(None, 0.0), (28, 1.362), (28, 1.864)]	12.7727453222	872.786515771	2105.77397807	888.897319046	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	64	0.7	16	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_16.mp3	70	2.555	[(None, 0.0), (61, 1.569), (70, 2.071), (70, 2.555)]	13.5025557829	886.293531975	2119.28099428	902.404334459	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	65	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	72	2.836	[(None, 0.0), (66, 0.926), (69, 1.303), (72, 2.129), (72, 2.836)]	13.774178789	900.073365214	2133.06082751	916.184167698	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	66	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	59	3.629	[(None, 0.0), (68, 2.643), (59, 3.051), (59, 3.629)]	14.5682672791	914.64699693	2147.63445884	930.757798625	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	67	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	79	2.447	[(None, 0.0), (68, 1.585), (69, 1.662), (79, 1.853), (79, 2.447)]	13.4166275835	928.068107061	2161.05557055	944.178910731	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	68	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	12	3.396	[(None, 0.0), (12, 2.55), (12, 3.395)]	14.3160059535	942.389113554	2175.37657586	958.499916434	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	69	0.4	19	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_19.mp3	17	2.957	[(None, 0.0), (17, 2.066), (17, 2.957)]	13.8482998522	956.247154106	2189.23461601	972.3579558	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	70	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	29	2.737	[(None, 0.0), (18, 1.72), (29, 2.16), (29, 2.737)]	13.6337760828	969.884719709	2202.87218241	985.995522589	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	71	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	30	1.925	[(None, 0.0), (30, 1.346), (30, 1.925)]	12.8645314543	982.755445337	2215.74290724	998.866247426	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	72	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	66	1.569	[(None, 0.0), (66, 1.176), (66, 1.569)]	12.4797507	995.264118246	2228.25158055	1011.37492152	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	73	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	23	2.788	[(None, 0.0), (23, 2.441), (23, 2.788)]	13.7249762636	1008.99442931	2241.98189122	1025.1052314	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	74	0.2	0	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_00.mp3	21	2.244	[(None, 0.0), (48, 1.024), (38, 1.417), (21, 1.807), (21, 2.244)]	13.1980456173	1022.19705823	2255.18452053	1038.30786072	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	75	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	21	1.65	[(None, 0.0), (20, 1.116), (21, 1.259), (21, 1.65)]	12.6184267662	1034.82062185	2267.80808415	1050.93142434	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	76	0.5	12	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_12.mp3	26	2.505	[(None, 0.0), (26, 1.816), (26, 2.505)]	13.458636302	1048.28451473	2281.27197663	1064.39531681	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	77	0.2	6	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_06.mp3	18	1.965	[(None, 0.0), (18, 1.51), (18, 1.965)]	12.9081407721	1061.19710683	2294.18456913	1077.30790932	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	78	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	60	3.144	[(None, 0.0), (60, 2.548), (60, 3.144)]	14.0678723646	1075.26953918	2308.25700149	1091.38034206	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	79	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	70	2.666	[(None, 0.0), (70, 1.836), (70, 2.666)]	13.5934999311	1088.86824551	2321.85570781	1104.97904839	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	80	0.4	12	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_12.mp3	29	3.098	[(None, 0.0), (29, 2.549), (29, 3.098)]	14.0055402625	1102.87959076	2335.86705306	1118.99039324	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	81	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	23	18.389	[(None, 0.0), (23, 17.841), (23, 18.389)]	29.338432519	1132.22340194	2365.21086385	1148.33420482	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	82	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	26	1.682	[(None, 0.0), (26, 1.321), (26, 1.682)]	12.606528359	1144.83441166	2377.82187475	1160.94521454	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	83	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	81	1.603	[(None, 0.0), (74, 0.679), (81, 0.994), (81, 1.603)]	12.5862847881	1157.42609526	2390.41355756	1173.53689775	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	84	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	62	1.9	[(None, 0.0), (62, 1.491), (62, 1.9)]	12.8374978812	1170.2680022	2403.2554641	1186.37880508	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	85	0.7	18	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_18.mp3	71	2.848	[(None, 0.0), (40, 1.722), (71, 2.005), (71, 2.848)]	13.7870637913	1184.06037077	2417.04783307	1200.17117325	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	86	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	66	1.398	[(None, 0.0), (66, 0.99), (66, 1.398)]	12.3460886071	1196.41181196	2429.39927426	1212.52261444	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	87	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	62	2.764	[(None, 0.0), (69, 1.106), (62, 1.936), (62, 2.764)]	13.6827150684	1210.09909492	2443.08655722	1226.20989701	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	88	0.4	5	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_05.mp3	64	1.442	[(None, 0.0), (64, 0.753), (64, 1.442)]	12.3875647144	1222.49207662	2455.47953852	1238.6028795	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
29	patterned	1	89	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	36	3.412	[(None, 0.0), (36, 3.004), (36, 3.412)]	14.367586659	1236.86439791	2469.85186021	1252.97520039	2019_Feb_27_0902	Sound Switch 12-20-2018	318-laptop	bpl	CZY
